CAS,haz,SMILES
7664-41-7,1,N
2855-13-2,1,CC1(CC(CC(C1)(C)CN)N)C
1031-47-6,1,CN(C)P(=O)(N1C(=NC(=N1)C2=CC=CC=C2)N)N(C)C
2079-00-7,1,CN(CC[C@@H](CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
99-98-9,1,CN(C)C1=CC=C(C=C1)N
95-55-6,1,C1=CC=C(C(=C1)N)O
591-27-5,1,C1=CC(=CC(=C1)O)N
123-30-8,1,C1=CC(=CC=C1N)O
2237-30-1,1,C1=CC(=CC(=C1)N)C#N
2045-00-3,1,C1=CC=C(C(=C1)N)[As](=O)(O)O
2038-72-4,1,C1=CC(=CC(=C1)[As](=O)(O)O)N
127-85-5,1,C1=CC(=CC=C1N)[As](=O)(O)[O-].[Na+]
504-29-0,1,C1=CC=NC(=C1)N
462-08-8,1,C1=CC(=CN=C1)N
504-24-5,1,C1=CN=CC=C1N
107-10-8,1,CCCN
75-31-0,1,CC(C)N
107-11-9,1,C=CCN
101-54-2,1,C1=CC=C(C=C1)NC2=CC=C(C=C2)N
2582-30-1,1,C(=NN)(N)N.C(=O)(O)O
7782-89-0,1,[Li+].[NH2-]
5329-14-6,1,NS(=O)(=O)O
2763-96-4,1,C1=C(ONC1=O)CN
1111-78-0,1,C(=O)(N)[O-].[NH4+]
51-83-2,1,C[N+](C)(C)CCOC(=O)N.[Cl-]
580-17-6,1,C1=CC=C2C(=C1)C=C(C=N2)N
90-41-5,1,C1=CC=C(C=C1)C2=CC=CC=C2N
92-67-1,1,C1=CC=C(C=C1)C2=CC=C(C=C2)N
141-43-5,1,C(CO)N
929-06-6,1,C(COCCO)N
1336-21-6,1,[NH4+].[OH-]
140-31-8,1,C1CN(CCN1)CCN
360-89-4,1,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F
76-19-7,1,C(C(F)(F)F)(C(F)(F)F)(F)F
115-25-3,1,C1(C(C(C1(F)F)(F)F)(F)F)(F)F
382-21-8,1,C(=C(F)F)(C(F)(F)F)C(F)(F)F
152-16-9,1,CN(C)P(=O)(N(C)C)OP(=O)(N(C)C)N(C)C
297-78-9,1,C12C(C(OC1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
57-74-9,1,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
8001-35-2,1,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl
27858-07-7,1,C1=CC(=C(C(=C1C2=C(C(=C(C(=C2Br)Br)Br)Br)Br)Br)Br)Br
12185-10-3,1,[P]
7440-39-3,1,[Ba]
4547-70-0,1,C1=CC(=CC(=C1)S(=O)(=O)NN)S(=O)(=O)NN
62-53-3,1,C1=CC=C(C=C1)N
271-89-6,1,C1=CC=C2C(=C1)C=CO2
95-54-5,1,C1=CC=C(C(=C1)N)N
108-45-2,1,C1=CC(=CC(=C1)N)N
106-50-3,1,C1=CC(=CC=C1N)N
120-80-9,1,C1=CC=C(C(=C1)O)O
108-46-3,1,C1=CC(=CC(=C1)O)O
123-31-9,1,C1=CC(=CC=C1O)O
98-48-6,1,C1=CC(=CC(=C1)S(=O)(=O)O)S(=O)(=O)O
108-95-2,1,C1=CC=C(C=C1)O
1333-39-7,1,C1=CC=C(C(=C1)O)S(=O)(=O)O
139-02-6,1,C1=CC=C(C=C1)[O-].[Na+]
80-17-1,1,C1=CC=C(C=C1)S(=O)(=O)NN
768-56-9,1,C=CCCC1=CC=CC=C1
135-88-6,1,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2
98-83-9,1,CC(=C)C1=CC=CC=C1
90-43-7,1,C1=CC=C(C=C1)C2=CC=CC=C2O
1631-84-1,1,C1=CC=C(C=C1)[Si](Cl)Cl
108-98-5,1,C1=CC=C(C=C1)S
100-57-2,1,C1=CC=C(C=C1)[Hg].O
98-13-5,1,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl
100-58-3,1,C1=CC=[C-]C=C1.[Mg+2].[Br-]
824-72-6,1,C1=CC=C(C=C1)P(=O)(Cl)Cl
103-84-4,1,CC(=O)NC1=CC=CC=C1
22212-55-1,1,CCOC(=O)C(C)N(C1=CC(=C(C=C1)Cl)Cl)C(=O)C2=CC=CC=C2
100-47-0,1,C1=CC=C(C=C1)C#N
100-66-3,1,COC1=CC=CC=C1
583-15-3,1,C1=CC=C(C=C1)C(=O)[O-].C1=CC=C(C=C1)C(=O)[O-].[Hg+2]
93-58-3,1,COC(=O)C1=CC=CC=C1
98-88-4,1,C1=CC=C(C=C1)C(=O)Cl
100-63-0,1,C1=CC=C(C=C1)NN
622-44-6,1,C1=CC=C(C=C1)N=C(Cl)Cl
106-51-4,1,C1=CC(=O)C=CC1=O
3497-00-5,1,C1=CC=C(C=C1)P(=S)(Cl)Cl
696-28-6,1,C1=CC=C(C=C1)[As](Cl)Cl
89-32-7,1,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O
532-28-5,1,C1=CC=C(C=C1)C(C#N)O
990-73-8,1,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
1943-82-4,1,C1=CC=C(C=C1)CCN=C=O
140-29-4,1,C1=CC=C(C=C1)CC#N
536-74-3,1,C#CC1=CC=CC=C1
100-42-5,1,C=CC1=CC=CC=C1
103-80-0,1,C1=CC=C(C=C1)CC(=O)Cl
110-86-1,1,C1=CC=NC=C1
53558-25-1,1,C1=CC(=CN=C1)CNC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
109-97-7,1,C1=CNC=C1
616-45-5,1,C1CC(=O)NC1
92-59-1,1,CCN(CC1=CC=CC=C1)C2=CC=CC=C2
101-82-6,1,C1=CC=C(C=C1)CC2=CC=CC=N2
2116-65-6,1,C1=CC=C(C=C1)CC2=CC=NC=C2
115-31-1,1,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N
371-86-8,1,CC(C)NP(=O)(NC(C)C)F
71-23-8,1,CCCO
67-63-0,1,CC(C)O
78-90-0,1,CC(CN)N
109-76-2,1,C(CN)CN
1569-02-4,1,CCOCC(C)O
109-77-3,1,C(C#N)C#N
2757-18-8,1,C(C(=O)[O-])C(=O)[O-].[Tl+].[Tl+]
463-49-0,1,C=C=C
1663-67-8,1,C(C(=O)Cl)C(=O)Cl
141-57-1,1,CCC[Si](Cl)(Cl)Cl
107-34-6,1,CCC[As](=O)(O)O
107-12-0,1,CCC#N
123-38-6,1,CCC=O
59355-75-8,1,CC#C.C=C=C
471-25-0,1,C#CC(=O)O
123-62-6,1,CCC(=O)OC(=O)CC
554-12-1,1,CCC(=O)OC
2408-20-0,1,CCC(=O)OCC=C
105-37-3,1,CCC(=O)OCC
637-78-5,1,CCC(=O)OC(C)C
540-42-1,1,CCC(=O)OCC(C)C
105-68-0,1,CCC(=O)OCCC(C)C
590-01-2,1,CCCCOC(=O)CC
624-54-4,1,CCCCCOC(=O)CC
591-34-4,1,CCC(C)OC(=O)CC
67-64-1,1,CC(=O)C
75-86-5,1,CC(C)(C#N)O
74-98-6,1,CCC
115-07-1,1,CC=C
107-18-6,1,C=CCO
870-23-5,1,C=CCS
107-13-1,1,C=CC#N
107-02-8,1,C=CC=O
96-33-3,1,COC(=O)C=C
2918-23-2,1,CC(CO)OC(=O)C=C
1663-39-4,1,CC(C)(C)OC(=O)C=C
140-88-5,1,CCOC(=O)C=C
106-63-8,1,CC(C)COC(=O)C=C
29590-42-9,1,CC(C)CCCCCOC(=O)C=C
141-32-2,1,CCCCOC(=O)C=C
75-55-8,1,CC1CN1
24631-29-6,1,CN(C)C1=CC=C(C=C1)N.C(=O)(C(=O)O)O
3444-13-1,1,C(=O)(C(=O)[O-])[O-].[Hg+2]
